# AIRPORTS
CODE,NAME,X,Y
NWC,Northwest Corner,-180,90
NEC,Northeast Corner,180,90
SWC,Southwest Corner,-180,-90
SEC,Southeast Corner,180,-90
CTR,Center Point,0,0
NOR,North Edge,0,90
SOU,South Edge,0,-90
WST,West Edge,-180,0
EST,East Edge,180,0
NWQ,Northwest Quadrant,-90,45
NEQ,Northeast Quadrant,90,45
SWQ,Southwest Quadrant,-90,-45
SEQ,Southeast Quadrant,90,-45

# FLIGHTS
FROM,TO,DEPARTURE,DURATION
NWC,SEC,00:00,300
NWC,NEC,00:00,200
NWC,CTR,00:00,150
NWC,SWC,00:05,220
SEC,NWC,08:00,300
NEC,SWC,00:10,280
SWC,NEC,09:00,280
CTR,NWC,00:30,150
CTR,NEC,01:00,150
CTR,SWC,01:30,150
CTR,SEC,02:00,150
NOR,SOU,02:30,200
SOU,NOR,10:00,200
WST,EST,03:00,250
EST,WST,11:00,250
NWQ,SEQ,04:00,180
NEQ,SWQ,04:10,180
SWQ,NEQ,12:00,180
SEQ,NWQ,12:10,180
